Date,iShares Core MSCI Europe UCITS ETF EUR (Acc)
2018-04,557698.6179929067
2018-05,558042.1706679607
2018-06,556381.5000102613
2018-07,571081.6173141707
2018-08,559211.5691381145
2018-09,564879.3766797461
2018-10,533662.8581999835
2018-11,526835.2062071625
2018-12,498544.9965574365
2019-01,529700.3307083076
2019-02,550967.7483490261
2019-03,563802.1355410862
2019-04,585667.8495988804
2019-05,558159.0782995727
2019-06,583800.8560542103
2019-07,584288.6358337163
2019-08,575561.5285235906
2019-09,599250.7848136327
2019-10,603817.9392990522
2019-11,622519.0642282758
2019-12,632324.117567332
2020-01,626597.8861698167
2020-02,572400.0985125368
2020-03,491137.5269478657
2020-04,524701.8409384065
2020-05,536250.4140869174
2020-06,555161.0562215095
2020-07,544993.5809960889
2020-08,563085.6224367066
2020-09,555143.9485983687
2020-10,524314.8948358276
2020-11,599107.7936789992
2020-12,612450.5290283158
2021-01,610310.7890355735
2021-02,626045.1712306885
2021-03,667772.1173572483
2021-04,678287.9138845332
2021-05,700563.9862240319
2021-06,709617.821661985
2021-07,722344.1210679696
2021-08,736773.7951488495
2021-09,717464.1017305822
2021-10,745731.5733550099
2021-11,724880.6026272463
2021-12,775234.5844416816
2022-01,751045.3597097329
2022-02,727038.4744074661
2022-03,733500.2540441784
2022-04,729056.3414979428
